manufacturer,model,fuel,transmission,type,paint_color
acura,1,diesel,automatic,SUV,black
alfa-romeo,124,electric,manual,bus,blue
audi,128i,gas,nan,convertible,brown
bmw,135i,hybrid,other,coupe,custom
buick,150,nan,,hatchback,green
cadillac,1500,other,,mini-van,grey
chevrolet,2,,,nan,nan
chrysler,200,,,offroad,orange
dodge,200s,,,other,purple
fiat,228i,,,pickup,red
ford,2500,,,sedan,silver
gmc,2500hd,,,truck,white
harley-davidson,3,,,van,yellow
honda,3-series,,,wagon,
hyundai,300,,,,
infiniti,300-series,,,,
jaguar,300c,,,,
jeep,300s,,,,
kia,320i,,,,
lexus,328,,,,
lincoln,328d,,,,
mazda,328i,,,,
mercedes-benz,328xi,,,,
mercury,330i,,,,
mini,335i,,,,
mitsubishi,335xi,,,,
nissan,340i,,,,
pontiac,3500,,,,
porsche,370z,,,,
ram,3i,,,,
rover,4,,,,
subaru,4-runner,,,,
tesla,428i,,,,
toyota,430i,,,,
volkswagen,435i,,,,
volvo,4500,,,,
,4runner,,,,
,5,,,,
,5-series,,,,
,500,,,,
,500c,,,,
,500e,,,,
,500l,,,,
,500x,,,,
,528,,,,
,528i,,,,
,528xi,,,,
,530i,,,,
,535,,,,
,535i,,,,
,535xi,,,,
,540i,,,,
,5500,,,,
,550i,,,,
,6,,,,
,640i,,,,
,650i,,,,
,7,,,,
,7-series,,,,
,740i,,,,
,750i,,,,
,750li,,,,
,86,,,,
,a-class,,,,
,a3,,,,
,a4,,,,
,a5,,,,
,a6,,,,
,a7,,,,
,a8,,,,
,a8l,,,,
,acadia,,,,
,accent,,,,
,accord,,,,
,all-new,,,,
,allroad,,,,
,altima,,,,
,amg,,,,
,armada,,,,
,ascent,,,,
,atlas,,,,
,ats,,,,
,avalanche,,,,
,avalon,,,,
,avenger,,,,
,aveo,,,,
,azera,,,,
,beetle,,,,
,benz,,,,
,blazer,,,,
,bolt,,,,
,boxster,,,,
,brz,,,,
,c,,,,
,c-class,,,,
,c-hr,,,,
,c-max,,,,
,c/v,,,,
,c250,,,,
,c30,,,,
,c300,,,,
,c70,,,,
,cadenza,,,,
,caliber,,,,
,camaro,,,,
,camry,,,,
,canyon,,,,
,caprice,,,,
,captiva,,,,
,caravan,,,,
,cargo,,,,
,cascada,,,,
,cayenne,,,,
,cayman,,,,
,cc,,,,
,challenger,,,,
,charger,,,,
,chassis,,,,
,cherokee,,,,
,city,,,,
,civic,,,,
,cla,,,,
,cla-class,,,,
,cls,,,,
,cls-class,,,,
,cls550,,,,
,clubman,,,,
,cmax,,,,
,cobalt,,,,
,colorado,,,,
,commander,,,,
,compass,,,,
,continental,,,,
,convertible,,,,
,cooper,,,,
,corolla,,,,
,corvette,,,,
,countryman,,,,
,cr-v,,,,
,cr-z,,,,
,crosstour,,,,
,crosstrek,,,,
,crown,,,,
,cruze,,,,
,crv,,,,
,crz,,,,
,ct,,,,
,ct200h,,,,
,ct5,,,,
,ct6,,,,
,cts,,,,
,cts-v,,,,
,cts4,,,,
,cube,,,,
,cummin,,,,
,cummins,,,,
,cx-3,,,,
,cx-5,,,,
,cx-7,,,,
,cx-9,,,,
,cx9,,,,
,dakota,,,,
,dart,,,,
,davidson,,,,
,deisel,,,,
,diesel,,,,
,diesels,,,,
,discovery,,,,
,dts,,,,
,durango,,,,
,e,,,,
,e-150,,,,
,e-250,,,,
,e-350,,,,
,e-450,,,,
,e-class,,,,
,e-golf,,,,
,e-pace,,,,
,e-series,,,,
,e150,,,,
,e250,,,,
,e350,,,,
,e450,,,,
,eclipse,,,,
,econoline,,,,
,ecosport,,,,
,edge,,,,
,elantra,,,,
,element,,,,
,enclave,,,,
,encore,,,,
,endeavor,,,,
,envision,,,,
,eos,,,,
,equinox,,,,
,equus,,,,
,es,,,,
,es350,,,,
,escalade,,,,
,escape,,,,
,evoque,,,,
,ex35,,,,
,expedition,,,,
,explorer,,,,
,express,,,,
,f,,,,
,f-150,,,,
,f-250,,,,
,f-250sd,,,,
,f-350,,,,
,f-350sd,,,,
,f-450,,,,
,f-450sd,,,,
,f-550,,,,
,f-pace,,,,
,f-type,,,,
,f150,,,,
,f250,,,,
,f350,,,,
,f450,,,,
,f550,,,,
,f650,,,,
,fiesta,,,,
,fit,,,,
,fj,,,,
,flex,,,,
,focus,,,,
,forester,,,,
,forte,,,,
,forte5,,,,
,frontier,,,,
,fusion,,,,
,fuso,,,,
,fx35,,,,
,g,,,,
,g25,,,,
,g37,,,,
,g37x,,,,
,g6,,,,
,galant,,,,
,genesis,,,,
,gl,,,,
,gl-class,,,,
,gl450,,,,
,gla,,,,
,gla-class,,,,
,gladiator,,,,
,glc,,,,
,glc-class,,,,
,gle,,,,
,gle-class,,,,
,glk,,,,
,glk-class,,,,
,gls,,,,
,golf,,,,
,grand,,,,
,gs,,,,
,gs350,,,,
,gti,,,,
,gx,,,,
,hardtop,,,,
,hhr,,,,
,highlander,,,,
,hr-v,,,,
,hrv,,,,
,hs,,,,
,hse,,,,
,i3,,,,
,ilx,,,,
,impala,,,,
,impreza,,,,
,insight,,,,
,ioniq,,,,
,is,,,,
,is250,,,,
,jetta,,,,
,journey,,,,
,juke,,,,
,jx35,,,,
,kicks,,,,
,kona,,,,
,lacrosse,,,,
,lancer,,,,
,leaf,,,,
,legacy,,,,
,liberty,,,,
,lifted,,,,
,lr2,,,,
,lr4,,,,
,ls,,,,
,ls460,,,,
,lucerne,,,,
,lx,,,,
,m-class,,,,
,m3,,,,
,m37,,,,
,m37x,,,,
,m4,,,,
,m5,,,,
,macan,,,,
,malibu,,,,
,mariner,,,,
,matrix,,,,
,maxima,,,,
,mazda2,,,,
,mazda3,,,,
,mazda5,,,,
,mazda6,,,,
,mazdaspeed3,,,,
,mdx,,,,
,metris,,,,
,miata,,,,
,milan,,,,
,mirage,,,,
,mkc,,,,
,mks,,,,
,mkt,,,,
,mkx,,,,
,mkz,,,,
,mkz/zephyr,,,,
,ml,,,,
,ml-class,,,,
,ml350,,,,
,model,,,,
,mountaineer,,,,
,murano,,,,
,mustang,,,,
,mx-5,,,,
,nan,,,,
,nautilus,,,,
,navigator,,,,
,new,,,,
,niro,,,,
,nitro,,,,
,nv,,,,
,nv1500,,,,
,nv200,,,,
,nv2500,,,,
,nx,,,,
,odyssey,,,,
,optima,,,,
,outback,,,,
,outlander,,,,
,pacifica,,,,
,panamera,,,,
,passat,,,,
,passport,,,,
,pathfinder,,,,
,patriot,,,,
,pickup,,,,
,pilot,,,,
,police,,,,
,prius,,,,
,promaster,,,,
,pt,,,,
,q3,,,,
,q40,,,,
,q5,,,,
,q50,,,,
,q50s,,,,
,q60,,,,
,q7,,,,
,q70,,,,
,q70l,,,,
,quest,,,,
,qx,,,,
,qx30,,,,
,qx50,,,,
,qx56,,,,
,qx60,,,,
,qx70,,,,
,qx80,,,,
,range,,,,
,ranger,,,,
,rav,,,,
,rav4,,,,
,rc,,,,
,rdx,,,,
,regal,,,,
,renegade,,,,
,ridgeline,,,,
,rio,,,,
,rlx,,,,
,rogue,,,,
,romeo,,,,
,rouge,,,,
,routan,,,,
,rs,,,,
,rs5,,,,
,rx,,,,
,rx350,,,,
,rx450h,,,,
,s,,,,
,s-class,,,,
,s3,,,,
,s4,,,,
,s40,,,,
,s5,,,,
,s550,,,,
,s6,,,,
,s60,,,,
,s7,,,,
,s80,,,,
,s90,,,,
,santa,,,,
,sante,,,,
,savana,,,,
,savanna,,,,
,scion,,,,
,sebring,,,,
,sedona,,,,
,sentra,,,,
,sequoia,,,,
,sienna,,,,
,sierra,,,,
,silverado,,,,
,sl,,,,
,slk,,,,
,sonata,,,,
,sonic,,,,
,sorento,,,,
,sorrento,,,,
,soul,,,,
,spark,,,,
,sport,,,,
,sportage,,,,
,sprinter,,,,
,sq5,,,,
,srx,,,,
,ss,,,,
,stinger,,,,
,suburban,,,,
,super,,,,
,tacoma,,,,
,tahoe,,,,
,taurus,,,,
,tdi,,,,
,telluride,,,,
,terrain,,,,
,tiguan,,,,
,titan,,,,
,tl,,,,
,tlx,,,,
,touareg,,,,
,town,,,,
,trailblazer,,,,
,transit,,,,
,transit-250,,,,
,traverse,,,,
,trax,,,,
,tribeca,,,,
,tsx,,,,
,tt,,,,
,tucson,,,,
,tundra,,,,
,tuscon,,,,
,ux,,,,
,v60,,,,
,velar,,,,
,veloster,,,,
,venue,,,,
,venza,,,,
,veracruz,,,,
,verano,,,,
,versa,,,,
,vibe,,,,
,volt,,,,
,wrangler,,,,
,wrx,,,,
,x1,,,,
,x2,,,,
,x3,,,,
,x4,,,,
,x5,,,,
,x6,,,,
,xc40,,,,
,xc60,,,,
,xc70,,,,
,xc90,,,,
,xe,,,,
,xf,,,,
,xj,,,,
,xjl,,,,
,xt4,,,,
,xt5,,,,
,xt6,,,,
,xterra,,,,
,xts,,,,
,xv,,,,
,yaris,,,,
,yukon,,,,
,z4,,,,
